204,230,16
317,140,12
922,63,13
223,74,7
575,397,18
261,203,7
278,387,14
989,52,4
720,89,7
921,80,5
269,484,17
222,283,18
628,350,8
329,333,13
734,65,16
141,135,17
531,64,3
673,245,13
140,120,15
65,466,10
848,338,17
72,475,3
812,208,15
138,441,0
193,257,2
255,73,20
908,224,3
69,81,18
706,120,4
738,247,16
984,61,4
989,444,11
953,112,15
32,429,15
644,104,16
433,297,1
108,435,2
145,476,5
498,84,19
827,64,5
428,263,18
781,490,11
675,76,1
814,430,8
791,418,3
443,291,5
562,437,17
817,336,3
699,175,18
435,310,14
690,406,3
496,432,8
835,326,12
401,423,3
872,466,2
715,378,1
509,238,8
477,200,20
470,298,15
233,476,5
389,33,3
250,482,7
758,99,5
255,460,5
552,217,9
633,500,8
196,271,8
668,96,17
815,352,17
632,285,14
54,339,16
523,162,9
552,71,16
113,454,5
490,496,3
915,212,0
286,246,2
447,266,13
972,245,15
863,397,7
544,230,16
738,109,19
732,248,1
65,38,10
67,350,7
356,287,12
863,443,9
338,101,2
827,123,20
507,103,1
295,222,3
53,200,3
486,61,18
324,274,6
798,68,7
887,326,0
904,384,1
594,60,16
751,399,1
391,9,18
372,292,11
824,167,18
741,292,14
484,51,19
857,464,16
346,291,15
395,425,7
819,104,19
694,242,10
819,338,16
140,398,18
188,51,3
753,285,4
121,452,6
709,383,15
154,248,0
495,323,16
963,334,6
303,106,0
90,332,16
550,372,6
292,422,1
829,242,20
679,282,14
378,114,5
900,29,20
771,95,15
740,404,13
791,187,14
39,458,5
59,476,13
483,245,12
660,420,20
867,250,9
254,140,19
786,308,5
87,95,13
793,183,5
317,53,5
971,326,16
25,451,6
541,232,10
834,166,9
759,46,3
922,82,15
74,242,19
205,322,9
122,418,10
723,449,20
201,430,8
764,374,3
994,207,10
286,421,14
220,62,0
135,278,19
130,240,0
383,430,16
358,385,9
411,181,14
362,91,19
292,443,8
223,272,1
696,95,17
808,185,16
944,2,9
285,139,9
693,346,19
397,279,3
954,44,9
979,151,0
231,139,12
587,152,19
98,161,16
